id,telegram_username,entries_json,total_weeks,updated_at
1,murkle_8,[],16,2026-04-14 01:08:01.054605+00
2,j4mes_r,"[{""id"":""1776153696958"",""name"":""Testosterone Cypionate"",""dose"":45,""freqH"":56,""startWeek"":0,""endWeek"":16,""color"":""#3B82F6"",""halfLifeDays"":8}]",16,2026-04-14 08:01:39.262745+00
4,irm1208,[],16,2026-04-14 09:01:15.601708+00
5,panth89,[],16,2026-04-14 10:33:38.9115+00
6,alexmd07,[],16,2026-04-14 11:04:48.974084+00
7,burgertrain,[],16,2026-04-14 14:53:39.735226+00
8,ironmanjamie,[],16,2026-04-14 16:25:48.277756+00
9,littlecrayon768,[],16,2026-04-14 20:57:35.661468+00
10,dsw4382,[],16,2026-04-15 00:44:28.603156+00
11,annamarie444,[],16,2026-04-15 08:05:54.532364+00
13,nikola kostadinov,[],16,2026-04-15 09:10:44.884733+00
15,johnnywalker70,[],16,2026-04-15 09:47:43.29328+00
16,sublantis,[],16,2026-04-15 10:26:41.497062+00
18,heych91,[],16,2026-04-15 15:01:55.957271+00
19,r1chmo,[],16,2026-04-15 15:53:51.43829+00
20,julialeonard107,[],16,2026-04-15 16:28:10.601146+00
22,fonymanctana,[],16,2026-04-15 18:06:23.760159+00
33,jayjo8,[],16,2026-04-15 22:43:00.062179+00
36,iam0121,[],16,2026-04-16 12:47:16.168897+00
40,jtarvos,[],16,2026-04-21 18:53:48.340335+00
41,tobenek,[],16,2026-04-23 17:33:11.823182+00
45,blunderboy6,[],16,2026-04-24 22:59:35.951123+00
38,rhydanik,[],16,2026-04-25 08:09:45.740839+00
39,untamedchazy,[],16,2026-04-26 02:57:11.92944+00
48,behindthehandlebar,"[{""id"":""1777235423252"",""name"":""Testosterone Cypionate"",""dose"":133,""freqH"":56,""startWeek"":0,""endWeek"":16,""color"":""#3B82F6"",""halfLifeDays"":8}]",16,2026-04-26 20:30:25.258715+00
23,mnky49,[],16,2026-04-15 18:32:36.16039+00
50,misosososo,[],16,2026-04-28 07:24:48.156758+00
51,msp_14_msp,[],16,2026-04-28 13:26:58.352716+00
53,tbby123,[],16,2026-04-30 16:50:35.110112+00
54,attcbf,[],16,2026-05-02 19:30:17.273834+00
55,jonny_feather,[],16,2026-05-02 20:39:49.841082+00
56,j_p_b8_2,[],16,2026-05-03 20:31:19.300637+00
57,fbx2000,[],16,2026-05-05 11:20:32.150318+00
58,alexbbing,[],16,2026-05-05 14:19:49.099428+00
52,polipoli,[],16,2026-05-06 11:03:12.714639+00
60,cozzzx,[],16,2026-05-06 12:06:51.383965+00
24,mirculina,"[{""id"":""1778223123436"",""name"":""Anavar (Oxandrolone)"",""dose"":5,""freqH"":12,""startWeek"":0,""endWeek"":8,""color"":""#F97316"",""halfLifeDays"":0.4}]",8,2026-05-08 06:52:04.795503+00
65,bat_102,[],16,2026-05-08 12:43:22.723282+00
